linha_origem,matricula_raw,nome_raw,cpf_raw,orgao_raw,erros
3,GO0001000,Rodrigo Nascimento,568.322.810-71,CGE,matricula_duplicada:primeira_ocorrencia_linha_1
28,GO0001022,Larissa Campos,407.852.519-95,CGE,matricula_duplicada:primeira_ocorrencia_linha_23
30,GO0001029,Eduardo Costa,580.093.680-38,CGE,cpf_duplicado:primeira_ocorrencia_linha_19
36,GO0001016,Cristina Nunes,923.630.230-99,CGE,cpf_duplicado:primeira_ocorrencia_linha_33
37,GO0001036,Lucas Souza,,cge,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo'}"
40,GO0001000,Lucas Almeida,806.447.790-39,CGE,matricula_duplicada:primeira_ocorrencia_linha_1
48,GO0001006,Rafael Araújo,,Cge,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo', 'email': 'email_invalido:rafael.araújo@'}"
61,GO0001024,Cristina Moura,074.303.884-25,CGE,matricula_duplicada:primeira_ocorrencia_linha_25
67,GO0001066,Thiago Araújo,741.208.773-47,CGE,cpf_duplicado:primeira_ocorrencia_linha_29
68,GO0001067,Alexandre Almeida,,CGE ,"{'cpf': 'cpf_nulo', 'data_admissao': 'data_admissao_nulo'}"
80,GO0001001,Juliana Carvalho,528.973.419-03,CGE,matricula_duplicada:primeira_ocorrencia_linha_2
97,GO0001081,Henrique Moreira,925.358.516-59,CGE,matricula_duplicada:primeira_ocorrencia_linha_82
103,GO0001102,Ana Rodrigues,, CGE,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo', 'sexo': 'sexo_nulo', 'email': 'email_invalido:ana.rodrigues@@cge.go.gov.br'}"
106,GO0001105,Camila Castro,181.351.068-67,CGE,cpf_duplicado:primeira_ocorrencia_linha_47
112,GO0001111,Vinicius  Dias,,CGE,{'cpf': 'cpf_nulo'}
130,GO0001104,Carlos Martins,154.306.529-85,CGE,matricula_duplicada:primeira_ocorrencia_linha_105
171,GO0001170,Carlos Moreira,,cge,{'cpf': 'cpf_nulo'}
177,GO0001176,Leandro Campos,666.354.198-71,CGE,cpf_duplicado:primeira_ocorrencia_linha_86
178,GO0001177,Carlos Nascimento,194.771.480-54,CGE,cpf_duplicado:primeira_ocorrencia_linha_125
191,GO0001190,João Araújo,806.447.790-39,CGE,cpf_duplicado:primeira_ocorrencia_linha_40
200,GO0001199,Patrícia Almeida,243.407.845-01,PGE,cpf_duplicado:primeira_ocorrencia_linha_21
202,GO0001201,Gustavo Almeida,672.215.235-87,PGE,cpf_duplicado:primeira_ocorrencia_linha_199
207,GO0001206,Renata Ferreira,666.991.565-61,PGE,cpf_duplicado:primeira_ocorrencia_linha_179
209,GO0001123,Mônica Dias,727.310.133-18,PGE,matricula_duplicada:primeira_ocorrencia_linha_124
212,GO0001211,Rodrigo Teixeira,,Pge,{'cpf': 'cpf_nulo'}
214,GO0001213,Camila Castro,380.202.992-15,PGE,cpf_duplicado:primeira_ocorrencia_linha_118
215,GO0001214,Simone Barbosa,,PGE ,{'cpf': 'cpf_nulo'}
217,GO0001160,Vinicius Moura,463.755.620-23,PGE,matricula_duplicada:primeira_ocorrencia_linha_161
218,GO0001038,Renata Araújo,032.584.424-68,PGE,matricula_duplicada:primeira_ocorrencia_linha_39
224,GO0001223,  Henrique Cavalcanti  ,,pge,{'cpf': 'cpf_nulo'}
238,GO0001021,Maria Rocha,,PGE ,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:@pge.go.gov.br'}"
239,GO0001238,Rodrigo Costa,510.687.441-53,PGE,cpf_duplicado:primeira_ocorrencia_linha_25
240,GO0001239,Larissa Ribeiro,665.602.760-47,PGE,cpf_duplicado:primeira_ocorrencia_linha_228
245,GO0001244,João Souza,,pge,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo', 'email': 'email_invalido:joão.souza@pge.go.gov.br'}"
247,GO0001149,Bruno Melo,038.812.050-28,PGE,matricula_duplicada:primeira_ocorrencia_linha_150
251,GO0001250,Aline Souza,925.358.516-59,PGE,cpf_duplicado:primeira_ocorrencia_linha_97
264,GO0001263,Felipe Gomes,014.379.320-34,PGE,cpf_duplicado:primeira_ocorrencia_linha_133
271,GO0001134,Felipe Ribeiro,253.375.923-29,PGE,matricula_duplicada:primeira_ocorrencia_linha_135
278,GO0001277,Leandro Cavalcanti,,PGE,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:leandro.cavalcanti@'}"
311,GO0001310,Pedro Nascimento,, PGE,{'cpf': 'cpf_nulo'}
314,GO0001187,Maria Nunes,690.448.046-02,PGE,matricula_duplicada:primeira_ocorrencia_linha_188
322,GO0001321,Pedro Gomes,402.497.007-65,PGE,cpf_duplicado:primeira_ocorrencia_linha_205
323,GO0001322,Renata Ferreira,,PGE ,{'cpf': 'cpf_nulo'}
338,GO0001337,Juliana Nascimento,730.212.102-90,PGE,cpf_duplicado:primeira_ocorrencia_linha_135
